ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia de mantenimiento correctivo,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Mes,Horas_Operativas_mean,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
1,36,2020-01-01 00:00:00,Preventivo,6754.12,3,Planta Norte,9,307,139.97,4.31,41114.0,2020-01,41114.0,Motor,Siemens,M400,4351.0,3549
2,244,2020-01-01 01:00:00,Preventivo,4274.63,35,Planta Norte,11,1156,141.25,4.82,93042.0,2020-02,93042.0,Generador,ABB,X100,1206.0,1061
3,297,2020-01-01 02:00:00,Preventivo,5752.0,25,Planta Norte,9,14,71.11,3.24,42929.0,2020-01,53789.6,Transformador,GE,X100,3728.0,8016
4,431,2020-01-01 03:00:00,Correctivo,5690.14,8,Planta Sur,14,597,89.23,4.12,81714.0,2020-01,81714.0,Transformador,GE,M400,253.0,7764
5,403,2020-01-01 04:00:00,Correctivo,7048.79,28,Planta Norte,8,107,61.95,4.66,96881.0,2020-01,72512.0,Motor,ABB,Y200,2597.0,4993
6,477,2020-01-01 05:00:00,Correctivo,1519.65,40,Planta Norte,9,47,90.36,1.16,98904.0,2020-01,40541.75,Generador,GE,X100,2625.0,4602
7,323,2020-01-01 06:00:00,Correctivo,9148.27,37,Planta Sur,13,607,141.82,4.46,3094.0,2020-01,8844.0,Transformador,ABB,Y200,2166.0,9505
8,318,2020-01-01 07:00:00,Correctivo,7784.49,19,Planta Sur,13,229,67.14,1.12,70026.0,2020-01,83298.5,Motor,ABB,Z300,1780.0,8351
9,154,2020-01-01 08:00:00,Preventivo,4968.19,25,Planta Sur,9,529,52.3,4.79,10035.0,2020-01,52005.0,Motor,Schneider,Z300,2355.0,6278
10,286,2020-01-01 09:00:00,Correctivo,8351.02,21,Planta Este,14,677,57.58,3.65,250.0,2020-01,250.0,Generador,GE,Y200,3432.0,8213
11,286,2020-01-01 10:00:00,Preventivo,9287.54,28,Planta Oeste,14,677,57.58,3.65,250.0,2020-01,250.0,Generador,GE,Y200,3432.0,8213
12,162,2020-01-01 11:00:00,Correctivo,4055.65,34,Planta Norte,10,685,74.74,4.52,13153.0,2020-01,13153.0,Motor,GE,X100,1599.0,8383
13,296,2020-01-01 12:00:00,Preventivo,3805.28,21,Planta Sur,8,16,106.58,0.24,75530.0,2020-01,51586.857142857145,Compresor,Schneider,X100,1192.0,6299
14,278,2020-01-01 13:00:00,Correctivo,2214.52,17,Planta Norte,15,538,72.06,1.49,74847.0,2020-01,67810.0,Transformador,Siemens,M400,3807.0,3178
15,224,2020-01-01 14:00:00,Correctivo,4276.16,1,Planta Oeste,12,10,122.37,1.91,91137.0,2020-01,70973.33333333333,Compresor,GE,X100,3513.0,8895
16,203,2020-01-01 15:00:00,Preventivo,320.94,46,Planta Norte,8,18,56.42,4.67,70018.0,2020-01,35936.0,Compresor,GE,X100,637.0,5843
17,386,2020-01-01 16:00:00,Preventivo,2806.72,20,Planta Oeste,11,346,68.89,3.48,4737.0,2020-01,4737.0,Generador,Schneider,Z300,4192.0,9303
18,122,2020-01-01 17:00:00,Preventivo,8919.97,14,Planta Norte,9,794,139.71,2.28,23355.0,2020-02,37188.0,Transformador,ABB,M400,7938.125,1474
19,33,2020-01-01 18:00:00,Preventivo,6522.17,24,Planta Sur,12,696,112.15,3.65,3750.0,2020-01,3750.0,Generador,ABB,M400,4720.0,3143
20,390,2020-01-01 19:00:00,Correctivo,1416.8,37,Planta Sur,14,361,86.31,2.67,76236.0,2020-01,45981.0,Transformador,Siemens,X100,244.0,6357
21,486,2020-01-01 20:00:00,Correctivo,5247.8,9,Planta Sur,14,1229,96.55,3.34,48032.0,2020-02,40318.5,Transformador,Siemens,Z300,1106.0,1460
22,203,2020-01-01 21:00:00,Preventivo,4597.35,2,Planta Sur,8,18,56.42,4.67,70018.0,2020-01,35936.0,Compresor,GE,X100,637.0,5843
23,158,2020-01-01 22:00:00,Preventivo,5765.84,16,Planta Sur,9,165,72.38,0.44,94305.0,2020-01,81999.0,Generador,Schneider,X100,4082.0,6958
24,18,2020-01-01 23:00:00,Preventivo,533.94,20,Planta Este,11,58,149.0,4.49,99272.0,2020-01,55908.0,Transformador,GE,Y200,4246.0,4516
25,193,2020-01-02 00:00:00,Preventivo,7937.91,45,Planta Oeste,10,130,113.07,0.89,25231.0,2020-01,50821.0,Motor,ABB,Y200,1083.0,2944
26,341,2020-01-02 01:00:00,Preventivo,7565.39,24,Planta Este,13,435,115.09,1.38,3449.0,2020-01,41888.333333333336,Motor,ABB,Z300,260.0,7954
27,293,2020-01-02 02:00:00,Correctivo,7296.98,46,Planta Oeste,8,2399,109.54,2.83,8262.0,2020-04,8262.0,Generador,GE,X100,865.0,6478
28,70,2020-01-02 03:00:00,Correctivo,9688.26,19,Planta Oeste,9,768,145.73,1.76,77807.0,2020-02,61003.5,Compresor,Schneider,Z300,4078.0,4324
29,20,2020-01-02 04:00:00,Correctivo,6057.2,10,Planta Norte,5,774,51.0,1.54,35397.0,2020-02,39216.2,Compresor,GE,M400,3511.0,4698
30,198,2020-01-02 05:00:00,Correctivo,6658.81,13,Planta Este,10,20,85.92,3.34,66313.0,2020-01,63205.0,Motor,Siemens,X100,946.0,6127
31,492,2020-01-02 06:00:00,Preventivo,5387.69,6,Planta Sur,7,480,50.93,2.3,40622.0,2020-01,48071.0,Compresor,Schneider,X100,4990.0,4462
32,373,2020-01-02 07:00:00,Correctivo,8368.22,5,Planta Este,15,53,57.08,3.21,36290.0,2020-01,40715.0,Compresor,ABB,M400,2074.0,6712
33,309,2020-01-02 08:00:00,Correctivo,649.92,35,Planta Norte,9,630,70.51,2.39,4455.0,2020-01,4455.0,Generador,ABB,X100,194.0,4061
34,427,2020-01-02 09:00:00,Preventivo,2574.59,16,Planta Este,12,5,139.42,4.22,78104.0,2020-01,50784.0,Motor,GE,X100,1549.0,8111
35,497,2020-01-02 10:00:00,Preventivo,8878.12,25,Planta Oeste,13,2078,116.3,1.52,55874.0,2020-03,55874.0,Compresor,GE,M400,3296.0,8256
36,394,2020-01-02 11:00:00,Preventivo,2790.67,46,Planta Sur,8,830,105.79,2.15,43548.0,2020-02,30936.0,Generador,Schneider,Z300,3111.0,6653
37,69,2020-01-02 12:00:00,Preventivo,8855.0,43,Planta Norte,8,134,102.25,4.7,94635.0,2020-01,54085.66666666666,Generador,Schneider,X100,4928.0,9028
38,47,2020-01-02 13:00:00,Preventivo,8234.25,7,Planta Sur,7,251,92.51,3.94,19283.0,2020-01,42355.0,Motor,Siemens,Z300,1883.0,9004
39,59,2020-01-02 14:00:00,Preventivo,6205.33,20,Planta Este,5,95,112.48,2.46,1376.0,2020-01,1376.0,Compresor,Schneider,Z300,2725.0,7002
40,498,2020-01-02 15:00:00,Preventivo,7232.44,10,Planta Norte,10,123,130.07,0.37,53524.0,2020-01,53524.0,Generador,Siemens,X100,4231.0,9047
41,432,2020-01-02 16:00:00,Preventivo,4464.21,9,Planta Este,12,168,124.81,3.55,81946.0,2020-01,65781.0,Generador,ABB,Z300,2986.0,7395
42,274,2020-01-02 17:00:00,Correctivo,7569.8,2,Planta Este,12,951,57.59,3.19,59791.0,2020-02,59791.0,Motor,Schneider,Y200,2600.0,2830
43,161,2020-01-02 18:00:00,Correctivo,7443.78,7,Planta Este,13,732,103.35,3.9,37071.0,2020-01,37071.0,Motor,ABB,Z300,1706.0,4455
44,225,2020-01-02 19:00:00,Correctivo,6431.96,17,Planta Oeste,9,181,136.44,0.98,32909.0,2020-01,19085.33333333333,Motor,Schneider,Z300,1484.0,1407
45,113,2020-01-02 20:00:00,Preventivo,3804.04,25,Planta Oeste,9,1136,87.4,4.39,55785.0,2020-02,55785.0,Compresor,Schneider,M400,216.0,5122
46,28,2020-01-02 21:00:00,Preventivo,5721.88,40,Planta Oeste,15,445,99.43,0.59,25292.0,2020-01,54402.66666666666,Compresor,GE,X100,4722.0,9660
47,197,2020-01-02 22:00:00,Correctivo,5689.56,12,Planta Sur,14,871,139.22,3.88,84761.0,2020-02,71801.5,Compresor,GE,Z300,281.0,4236
48,185,2020-01-02 23:00:00,Correctivo,5135.66,15,Planta Norte,12,46,121.04,0.16,89849.0,2020-01,89849.0,Compresor,Schneider,Z300,215.0,3803
49,219,2020-01-03 00:00:00,Correctivo,8338.52,23,Planta Este,10,918,71.8,1.76,80007.0,2020-02,80007.0,Generador,Siemens,Y200,464.0,9272
50,95,2020-01-03 01:00:00,Correctivo,9906.21,43,Planta Sur,9,1269,98.72,2.85,13620.0,2020-02,27367.0,Transformador,GE,M400,1095.0,1294
51,248,2020-01-03 02:00:00,Correctivo,6015.87,38,Planta Oeste,10,402,95.7,4.2,14286.0,2020-01,14286.0,Motor,Schneider,M400,517.0,2802
52,46,2020-01-03 03:00:00,Preventivo,412.9,2,Planta Este,10,922,128.17,2.03,59238.0,2020-02,60741.0,Transformador,Schneider,M400,3570.0,4326
53,273,2020-01-03 04:00:00,Correctivo,4447.83,8,Planta Norte,9,11,59.49,4.64,18341.0,2020-01,51307.66666666666,Motor,Schneider,Y200,3607.0,6085
54,130,2020-01-03 05:00:00,Preventivo,8404.42,17,Planta Oeste,17,703,145.01,4.42,70117.0,2020-01,70117.0,Compresor,Schneider,Y200,633.0,7585
