ID_Equipo,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Frecuencia de mantenimiento correctivo,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Mes,Horas_Operativas_mean,Tipo_Equipo,Potencia_kW,Horas_Recomendadas_Revision,Año_O,Mes_O,Día_O,Horas_Desde_Preventivo
36,1,6754.12,3,9,139.97,4.31,41114.0,0,41114.0,2,4351.0,3549,2020,1,1,0.0
244,1,4274.63,35,11,141.25,4.82,93042.0,1,93042.0,1,1206.0,1061,2020,1,1,1061.0
297,1,5752.0,25,9,71.11,3.24,42929.0,0,53789.6,3,3728.0,8016,2020,1,1,8016.0
431,0,5690.14,8,14,89.23,4.12,81714.0,0,81714.0,3,253.0,7764,2020,1,1,8015.0
403,0,7048.79,28,8,61.95,4.66,96881.0,0,72512.0,2,2597.0,4993,2020,1,1,8014.0
477,0,1519.65,40,9,90.36,1.16,98904.0,0,40541.75,1,2625.0,4602,2020,1,1,8013.0
323,0,9148.27,37,13,141.82,4.46,3094.0,0,8844.0,3,2166.0,9505,2020,1,1,8012.0
318,0,7784.49,19,13,67.14,1.12,70026.0,0,83298.5,2,1780.0,8351,2020,1,1,8011.0
154,1,4968.19,25,9,52.3,4.79,10035.0,0,52005.0,2,2355.0,6278,2020,1,1,6278.0
286,0,8351.02,21,14,57.58,3.65,250.0,0,250.0,1,3432.0,8213,2020,1,1,6277.0
286,1,9287.54,28,14,57.58,3.65,250.0,0,250.0,1,3432.0,8213,2020,1,1,8213.0
162,0,4055.65,34,10,74.74,4.52,13153.0,0,13153.0,2,1599.0,8383,2020,1,1,8212.0
296,1,3805.28,21,8,106.58,0.24,75530.0,0,51586.857142857145,0,1192.0,6299,2020,1,1,6299.0
278,0,2214.52,17,15,72.06,1.49,74847.0,0,67810.0,3,3807.0,3178,2020,1,1,6298.0
224,0,4276.16,1,12,122.37,1.91,91137.0,0,70973.33333333333,0,3513.0,8895,2020,1,1,6297.0
203,1,320.94,46,8,56.42,4.67,70018.0,0,35936.0,0,637.0,5843,2020,1,1,5843.0
386,1,2806.72,20,11,68.89,3.48,4737.0,0,4737.0,1,4192.0,9303,2020,1,1,9303.0
122,1,8919.97,14,9,139.71,2.28,23355.0,1,37188.0,3,7938.125,1474,2020,1,1,1474.0
33,1,6522.17,24,12,112.15,3.65,3750.0,0,3750.0,1,4720.0,3143,2020,1,1,3143.0
390,0,1416.8,37,14,86.31,2.67,76236.0,0,45981.0,3,244.0,6357,2020,1,1,3142.0
486,0,5247.8,9,14,96.55,3.34,48032.0,1,40318.5,3,1106.0,1460,2020,1,1,3141.0
203,1,4597.35,2,8,56.42,4.67,70018.0,0,35936.0,0,637.0,5843,2020,1,1,5843.0
158,1,5765.84,16,9,72.38,0.44,94305.0,0,81999.0,1,4082.0,6958,2020,1,1,6958.0
18,1,533.94,20,11,149.0,4.49,99272.0,0,55908.0,3,4246.0,4516,2020,1,1,4516.0
193,1,7937.91,45,10,113.07,0.89,25231.0,0,50821.0,2,1083.0,2944,2020,1,2,2944.0
341,1,7565.39,24,13,115.09,1.38,3449.0,0,41888.333333333336,2,260.0,7954,2020,1,2,7954.0
293,0,7296.98,46,8,109.54,2.83,8262.0,3,8262.0,1,865.0,6478,2020,1,2,7953.0
70,0,9688.26,19,9,145.73,1.76,77807.0,1,61003.5,0,4078.0,4324,2020,1,2,7952.0
20,0,6057.2,10,5,51.0,1.54,35397.0,1,39216.2,0,3511.0,4698,2020,1,2,7951.0
198,0,6658.81,13,10,85.92,3.34,66313.0,0,63205.0,2,946.0,6127,2020,1,2,7950.0
492,1,5387.69,6,7,50.93,2.3,40622.0,0,48071.0,0,4990.0,4462,2020,1,2,4462.0
373,0,8368.22,5,15,57.08,3.21,36290.0,0,40715.0,0,2074.0,6712,2020,1,2,4461.0
309,0,649.92,35,9,70.51,2.39,4455.0,0,4455.0,1,194.0,4061,2020,1,2,4460.0
427,1,2574.59,16,12,139.42,4.22,78104.0,0,50784.0,2,1549.0,8111,2020,1,2,8111.0
497,1,8878.12,25,13,116.3,1.52,55874.0,2,55874.0,0,3296.0,8256,2020,1,2,8256.0
394,1,2790.67,46,8,105.79,2.15,43548.0,1,30936.0,1,3111.0,6653,2020,1,2,6653.0
69,1,8855.0,43,8,102.25,4.7,94635.0,0,54085.66666666666,1,4928.0,9028,2020,1,2,9028.0
47,1,8234.25,7,7,92.51,3.94,19283.0,0,42355.0,2,1883.0,9004,2020,1,2,9004.0
59,1,6205.33,20,5,112.48,2.46,1376.0,0,1376.0,0,2725.0,7002,2020,1,2,7002.0
498,1,7232.44,10,10,130.07,0.37,53524.0,0,53524.0,1,4231.0,9047,2020,1,2,9047.0
432,1,4464.21,9,12,124.81,3.55,81946.0,0,65781.0,1,2986.0,7395,2020,1,2,7395.0
274,0,7569.8,2,12,57.59,3.19,59791.0,1,59791.0,2,2600.0,2830,2020,1,2,7394.0
161,0,7443.78,7,13,103.35,3.9,37071.0,0,37071.0,2,1706.0,4455,2020,1,2,7393.0
225,0,6431.96,17,9,136.44,0.98,32909.0,0,19085.33333333333,2,1484.0,1407,2020,1,2,7392.0
113,1,3804.04,25,9,87.4,4.39,55785.0,1,55785.0,0,216.0,5122,2020,1,2,5122.0
28,1,5721.88,40,15,99.43,0.59,25292.0,0,54402.66666666666,0,4722.0,9660,2020,1,2,9660.0
197,0,5689.56,12,14,139.22,3.88,84761.0,1,71801.5,0,281.0,4236,2020,1,2,9659.0
185,0,5135.66,15,12,121.04,0.16,89849.0,0,89849.0,0,215.0,3803,2020,1,2,9658.0
